211.304 71.5469
136.431 42.6078
-63.9177 311.27
240.577 -251.2
-168.965 -103.211
-165.377 203.401
185.9 164.645
-147.162 46.2898
7.51977 -137.915
-110.231 88.6255
115.521 200.909
277.58 398.312
-162.655 172.887
-130.859 162.058
377.34 203.354
-69.693 252.57
133.623 -107.828
-217.302 -257.003
190.257 123.704
52.1666 148.37
176.104 128.319
-63.1332 49.4972
38.4138 11.2956
-72.3262 54.2168
148.282 506.218
76.9976 230.364
345.389 -1.64374
61.8741 -101.381
145.855 33.6502
8.56385 -140.376
410.192 306.291
341.552 318.668
-227.547 138.235
133.399 135.875
386.122 137.625
121.977 203.966
609.627 9.31325
217.244 -99.7876
177.181 -131.554
160.281 200.082
-146.836 343.169
182.775 -92.5174
250.359 -128.84
460.66 -241.646
268.126 -253.481
169.866 156.125
356.273 311.107
189.432 -46.4147
109.745 18.9374
98.8899 120.169
169.963 639.382
340.369 508.766
66.3321 101.287
71.0334 69.2573
-10.4086 73.8037
90.2881 68.3168
147.665 229.872
38.3568 -61.6495
-30.9432 -23.7564
27.0703 56.9615
368.898 47.1171
94.5513 10.3112
-219.473 165.535
51.3184 -111.683
-2.72533 103.184
162.88 -117.91
-36.6095 323.775
-85.9586 -91.1186
164.129 420.142
-145.151 243.477
472.495 -104.543
240.703 72.9061
-36.8296 -111.092
45.3649 -64.9048
374.354 236.356
60.3003 63.4736
536.313 -85.4375
261.014 120.99
-110.643 292.204
233.027 -83.7178
225.885 49.8842
-106.661 -30.1627
22.2316 71.1595
-143.027 373.911
-293.154 139.207
390.141 390.716
-50.9533 84.7232
-66.5055 209.201
467.082 -229.149
124.492 123.032
-174.697 144.302
287.276 358.594
-51.468 -15.7206
-75.5257 -43.0263
156.91 295.495
231.595 -7.26863
-70.2654 80.7975
-149.019 -179.24
110.147 171.246
273.133 296.342
-266.631 -22.8878
-22.8039 187.856
215.509 364.31
-168.943 -107.148
68.6682 -171.736
-89.0185 375.521
-118.538 56.1576
479.637 -97.6757
-87.7884 -45.3428
129.45 250.154
585.179 124.964
-249.108 329.217
72.0337 258.808
390.624 101.452
238.935 300.316
505.616 78.173
-145.205 186.4
-39.2692 62.5937
-18.333 -279.792
